fill time utc;[CH4]
10.08.21 01:55;2129
10.08.21 02:34;2081
10.08.21 02:53;2072
10.08.21 03:13;2084
10.08.21 03:32;2074
10.08.21 04:11;2106
10.08.21 04:30;2051
10.08.21 04:50;2065
10.08.21 05:09;2052
10.08.21 05:48;2049
10.08.21 06:07;2043
10.08.21 06:26;2088
10.08.21 06:46;2113
10.08.21 07:44;2061
10.08.21 08:03;2049
10.08.21 08:42;2044
10.08.21 09:01;2064
10.08.21 09:21;2025
10.08.21 09:40;2033
10.08.21 10:19;2027
10.08.21 10:38;2028
10.08.21 10:57;2044
10.08.21 11:17;2006
10.08.21 11:55;2035
10.08.21 12:15;2062
10.08.21 12:34;1996
10.08.21 12:54;2044
10.08.21 13:32;2054
10.08.21 13:52;2029
10.08.21 14:11;2017
10.08.21 14:30;1980
10.08.21 15:09;1991
10.08.21 15:28;2022
10.08.21 15:48;2016
10.08.21 16:07;2003
10.08.21 16:46;2024
10.08.21 17:05;2023
10.08.21 17:25;2011
10.08.21 17:44;2035
10.08.21 18:23;2034
10.08.21 18:42;2026
10.08.21 19:01;2049
10.08.21 19:21;2058
10.08.21 20:00;2069
10.08.21 20:19;2129
10.08.21 20:38;2094
10.08.21 20:58;2116
10.08.21 21:36;2131
10.08.21 21:56;2158
10.08.21 22:15;2143
10.08.21 22:34;2146
10.08.21 23:13;2148
10.08.21 23:32;2198
10.08.21 23:52;2204
11.08.21 00:11;2195
11.08.21 00:50;2254
11.08.21 01:09;2257
11.08.21 01:29;2246
11.08.21 01:48;2269
11.08.21 02:27;2228
11.08.21 02:46;2261
11.08.21 03:05;2227
11.08.21 03:25;2228
11.08.21 04:23;2223
11.08.21 04:42;2262
11.08.21 05:21;2248
11.08.21 05:40;2209
11.08.21 06:00;2210
11.08.21 06:19;2206
11.08.21 06:58;2119
11.08.21 07:17;2116
11.08.21 07:37;2072
11.08.21 07:56;2120
11.08.21 08:35;2114
11.08.21 08:54;2092
11.08.21 09:13;2022
11.08.21 09:33;2029
11.08.21 10:11;2004
11.08.21 10:31;2049
11.08.21 10:50;2021
11.08.21 11:10;2057
11.08.21 11:48;2033
11.08.21 12:08;2021
11.08.21 12:27;2024
11.08.21 12:46;2016
11.08.21 13:25;2030
11.08.21 13:44;2086
11.08.21 14:04;2054
11.08.21 14:23;2076
11.08.21 15:02;2049
11.08.21 15:21;2017
11.08.21 15:41;2018
11.08.21 16:00;2022
11.08.21 16:39;2011
11.08.21 16:58;2035
11.08.21 17:17;2028
11.08.21 17:37;2065
11.08.21 18:15;2056
11.08.21 18:35;2051
11.08.21 18:54;2038
11.08.21 19:14;2052
11.08.21 19:52;2067
11.08.21 20:12;2091
11.08.21 20:31;2089
11.08.21 20:50;2114
11.08.21 21:29;2112
11.08.21 21:48;2063
11.08.21 22:08;2065
11.08.21 22:27;2095
11.08.21 23:06;2076
11.08.21 23:25;2087
11.08.21 23:45;2097
12.08.21 00:04;2215
12.08.21 01:02;3690
12.08.21 01:21;4155
12.08.21 02:00;3056
12.08.21 02:20;2276
12.08.21 02:39;2309
12.08.21 02:58;2285
12.08.21 03:37;2251
12.08.21 03:56;2241
12.08.21 04:16;2196
12.08.21 04:35;2135
12.08.21 05:14;2109
12.08.21 05:33;2131
12.08.21 05:52;2158
12.08.21 06:12;2223
12.08.21 06:51;2131
12.08.21 07:10;2128
12.08.21 07:29;2130
12.08.21 07:49;2080
12.08.21 08:27;2050
12.08.21 09:16;2030
12.08.21 09:54;1988
12.08.21 10:14;2015
12.08.21 10:33;2004
12.08.21 10:52;2012
12.08.21 11:31;1992
12.08.21 11:50;1969
12.08.21 12:10;1994
12.08.21 12:29;1987
12.08.21 13:08;2045
12.08.21 13:27;2060
12.08.21 13:47;2057
12.08.21 14:06;2008
12.08.21 14:45;2005
12.08.21 15:04;2013
12.08.21 15:23;1984
12.08.21 15:43;1976
12.08.21 16:21;1981
12.08.21 16:41;2022
12.08.21 17:00;2030
12.08.21 17:20;2037
12.08.21 17:58;2046
12.08.21 18:18;2037
12.08.21 18:37;2061
12.08.21 18:56;2046
12.08.21 19:35;2057
12.08.21 19:54;2086
12.08.21 20:14;2124
12.08.21 20:33;2150
12.08.21 21:12;2150
12.08.21 21:31;2164
12.08.21 21:51;2201
12.08.21 22:10;2182
12.08.21 22:49;2206
12.08.21 23:08;2226
12.08.21 23:27;2188
12.08.21 23:47;2167
13.08.21 00:25;2173
13.08.21 00:45;2139
13.08.21 01:04;2195
13.08.21 01:23;2337
13.08.21 02:02;4120
13.08.21 02:22;3156
13.08.21 02:41;2724
13.08.21 03:00;2386
13.08.21 03:39;2221
