"fill.time.utc","X.CH4.","X.CH4..2H","d2H.VPDB","sd..CH4..x","sd.d2H","X.CH4..13C","d13C.VPDB","sd..CH4..y","sd.d13C","c13C","c2H"
2021-08-05 15:45:00,1974,NA,NA,NA,NA,1974,-48.22,"17","0,04",0.000506585612968592,NA
2021-08-05 16:24:00,1975,NA,NA,NA,NA,1975,-48.28,"17","0,04",0.000506329113924051,NA
2021-08-05 16:43:00,1996,1996,-89.46,0,0.43,NA,NA,NA,NA,NA,0.000501002004008016
2021-08-05 17:03:00,1960,NA,NA,NA,NA,1960,-48.24,"17","0,04",0.000510204081632653,NA
2021-08-05 17:22:00,2001,2001,-88.52,0,0.43,NA,NA,NA,NA,NA,0.000499750124937531
2021-08-05 18:01:00,2019,2019,-91.38,0,0.43,NA,NA,NA,NA,NA,0.000495294700346706
2021-08-05 18:20:00,2015,NA,NA,NA,NA,2015,-48.23,"25","0,07",0.000496277915632754,NA
2021-08-05 18:40:00,2038,2038,-93.38,0,0.43,NA,NA,NA,NA,NA,0.000490677134445535
2021-08-05 18:59:00,2010,NA,NA,NA,NA,2010,-48.39,"25","0,07",0.000497512437810945,NA
2021-08-05 19:38:00,1976,NA,NA,NA,NA,1976,-48.23,"25","0,07",0.000506072874493927,NA
2021-08-05 19:57:00,1975,1975,-88.2,4,0.3,NA,NA,NA,NA,NA,0.000506329113924051
2021-08-05 20:16:00,1963,NA,NA,NA,NA,1963,-48.15,"25","0,07",0.000509424350483953,NA
2021-08-05 20:36:00,1989,1989,-87.87,4,0.3,NA,NA,NA,NA,NA,0.000502765208647562
2021-08-05 21:14:00,2000,2000,-88.51,4,0.3,NA,NA,NA,NA,NA,5e-04
2021-08-05 21:34:00,2048,NA,NA,NA,NA,2048,-48.14,"5","0,01",0.00048828125,NA
2021-08-05 21:53:00,2016,2016,-92.53,4,0.3,NA,NA,NA,NA,NA,0.000496031746031746
2021-08-05 22:13:00,2013,NA,NA,NA,NA,2013,-48.39,"5","0,01",0.000496770988574267,NA
2021-08-05 22:51:00,2024,NA,NA,NA,NA,2024,-48.38,"5","0,01",0.000494071146245059,NA
2021-08-05 23:11:00,2034,2034,-94.89,6,0.19,NA,NA,NA,NA,NA,0.000491642084562439
2021-08-05 23:30:00,2069,NA,NA,NA,NA,2069,-48.31,"5","0,01",0.000483325277912035,NA
2021-08-05 23:49:00,2026,2026,-95.87,6,0.19,NA,NA,NA,NA,NA,0.000493583415597236
2021-08-06 00:28:00,2053,2053,-96.91,6,0.19,NA,NA,NA,NA,NA,0.000487092060399416
2021-08-06 00:47:00,2075,NA,NA,NA,NA,2075,-48.38,"9","0,02",0.000481927710843373,NA
2021-08-06 01:07:00,2026,2026,-96.29,6,0.19,NA,NA,NA,NA,NA,0.000493583415597236
2021-08-06 02:05:00,2059,NA,NA,NA,NA,2059,-48.55,"9","0,02",0.000485672656629432,NA
2021-08-06 02:44:00,2068,NA,NA,NA,NA,2068,-48.6,"9","0,02",0.000483558994197292,NA
2021-08-06 03:03:00,2099,2099,-101.3,24,0.16,NA,NA,NA,NA,NA,0.000476417341591234
2021-08-06 03:22:00,2117,NA,NA,NA,NA,2117,-48.7,"9","0,02",0.000472366556447804,NA
2021-08-06 03:42:00,2085,2085,-99.74,24,0.16,NA,NA,NA,NA,NA,0.000479616306954436
2021-08-06 04:20:00,2063,2063,-97.89,23,0.16,NA,NA,NA,NA,NA,0.000484730974309258
2021-08-06 04:40:00,2068,NA,NA,NA,NA,2068,-48.53,"9","0,10",0.000483558994197292,NA
2021-08-06 04:59:00,2065,2065,-97.11,23,0.16,NA,NA,NA,NA,NA,0.000484261501210654
2021-08-06 05:19:00,2059,NA,NA,NA,NA,2059,-48.54,"9","0,10",0.000485672656629432,NA
2021-08-06 05:57:00,2081,NA,NA,NA,NA,2081,-48.49,"9","0,10",0.000480538202787122,NA
2021-08-06 06:17:00,2052,2052,-96.32,18,2.04,NA,NA,NA,NA,NA,0.000487329434697856
2021-08-06 06:36:00,2049,NA,NA,NA,NA,2049,-48.52,"9","0,10",0.000488042947779405,NA
2021-08-06 06:55:00,2046,2046,-97.03,18,2.04,NA,NA,NA,NA,NA,0.000488758553274682
2021-08-06 07:34:00,2050,2050,-97.45,18,2.04,NA,NA,NA,NA,NA,0.00048780487804878
2021-08-06 07:53:00,2083,NA,NA,NA,NA,2083,-48.79,"7","0,02",0.000480076812289966,NA
2021-08-06 08:13:00,2102,2102,-102.37,18,2.04,NA,NA,NA,NA,NA,0.000475737392959087
2021-08-06 08:32:00,2071,NA,NA,NA,NA,2071,-48.6,"7","0,02",0.000482858522452921,NA
2021-08-06 09:11:00,2064,NA,NA,NA,NA,2064,-48.66,"7","0,02",0.000484496124031008,NA
2021-08-06 09:30:00,2024,2024,-93.54,12,2.14,NA,NA,NA,NA,NA,0.000494071146245059
2021-08-06 09:50:00,2015,NA,NA,NA,NA,2015,-48.42,"7","0,02",0.000496277915632754,NA
2021-08-06 10:09:00,2032,2032,-91.92,12,2.14,NA,NA,NA,NA,NA,0.000492125984251968
2021-08-06 10:48:00,2014,2014,-88.77,12,2.14,NA,NA,NA,NA,NA,0.000496524329692155
2021-08-06 11:07:00,2007,NA,NA,NA,NA,2007,-48.37,"16","0,07",0.00049825610363727,NA
2021-08-06 11:26:00,2002,2002,-88.53,12,2.14,NA,NA,NA,NA,NA,0.0004995004995005
2021-08-06 11:46:00,2004,NA,NA,NA,NA,2004,-48.31,"16","0,07",0.000499001996007984,NA
2021-08-06 12:24:00,2029,NA,NA,NA,NA,2029,-48.2,"17","0,07",0.000492853622474125,NA
2021-08-06 12:44:00,2007,2007,-90.89,2,0.93,NA,NA,NA,NA,NA,0.00049825610363727
2021-08-06 13:03:00,1989,NA,NA,NA,NA,1989,-48.22,"16","0,07",0.000502765208647562,NA
