fill time utc;[CH4] 2H;d2H VPDB;sd [CH4];sd d2H
16.08.21 15:30;2050;-96,18;35;1,40
16.08.21 16:09;1980;-93,81;34;1,40
16.08.21 17:26;1952;-87,63;9;0,69
16.08.21 18:05;1962;-88,13;9;0,69
16.08.21 18:44;1969;-90,01;9;0,69
16.08.21 19:22;1972;-89,58;9;0,69
16.08.21 20:40;1999;-89,01;0;0,57
16.08.21 21:19;1983;-89,79;0;0,57
16.08.21 21:57;1994;-89,76;0;0,57
16.08.21 22:36;1999;-90,83;0;0,57
16.08.21 23:53;2004;-91,20;3;0,50
17.08.21 00:32;1993;-89,06;3;0,50
17.08.21 01:11;1991;-90,34;3;0,50
17.08.21 01:49;1999;-90,19;3;0,50
17.08.21 03:07;1986;-90,32;7;0,84
17.08.21 03:46;1975;-88,40;7;0,84
17.08.21 04:24;1991;-90,32;7;0,84
17.08.21 05:03;1969;-89,98;7;0,84
17.08.21 06:20;2006;-90,70;13;0,43
17.08.21 06:59;1997;-89,32;13;0,43
17.08.21 07:38;1985;-88,58;13;0,43
17.08.21 08:17;1967;-88,16;13;0,43
17.08.21 09:34;2000;-88,60;13;0,43
17.08.21 10:51;1987;-88,75;4;0,67
17.08.21 11:30;2001;-88,46;4;0,67
17.08.21 12:09;1996;-85,86;4;0,67
17.08.21 12:47;1995;-87,25;4;0,67
17.08.21 14:05;1983;-87,92;10;0,53
17.08.21 14:44;1999;-88,60;10;0,53
17.08.21 15:22;1997;-87,15;10;0,53
17.08.21 16:01;2005;-87,66;10;0,53
17.08.21 17:18;1980;-88,85;10;0,72
17.08.21 17:57;2000;-89,48;10;0,72
17.08.21 18:36;1985;-89,35;10;0,72
17.08.21 19:15;1983;-89,12;10;0,72
17.08.21 20:32;1987;-90,41;6;1,22
17.08.21 21:11;2000;-91,04;6;1,22
17.08.21 21:49;2010;-91,29;6;1,22
17.08.21 22:28;2023;-95,29;6;1,22
17.08.21 23:45;2081;-97,81;17;0,81
18.08.21 00:24;2099;-100,85;17;0,81
18.08.21 01:03;2093;-102,04;17;0,81
18.08.21 01:42;2095;-99,57;17;0,81
18.08.21 02:59;2115;-101,91;2;0,55
18.08.21 03:38;2115;-101,09;2;0,55
18.08.21 04:16;2124;-102,57;2;0,55
18.08.21 04:56;;;;
18.08.21 06:14;2176;-100,24;2;0,55
18.08.21 07:30;2062;-97,20;13;0,94
18.08.21 08:09;2065;-95,26;13;0,94
18.08.21 08:47;2019;-92,58;12;0,94
18.08.21 09:26;2030;-93,41;12;0,94
18.08.21 10:44;1997;-91,12;5;0,02
18.08.21 11:22;1964;-88,70;5;0,02
18.08.21 12:01;1990;-88,87;5;0,02
18.08.21 12:40;1952;-87,38;5;0,02
18.08.21 13:57;1983;-90,31;5;0,02
18.08.21 14:36;1960;-88,43;5;0,02
18.08.21 15:14;1975;-90,33;5;0,02
18.08.21 15:53;;;;
18.08.21 17:11;2015;-90,55;;
18.08.21 17:49;2041;-92,56;;
18.08.21 18:28;2034;-93,64;;
18.08.21 19:07;2042;-94,48;;
18.08.21 20:24;2049;-95,46;0;0,11
18.08.21 21:03;2042;-95,70;0;0,11
18.08.21 21:42;2039;-96,04;0;0,11
18.08.21 22:20;2041;-96,29;0;0,11
18.08.21 23:38;2029;-92,79;14;0,89
19.08.21 00:16;2027;-94,66;14;0,89
